distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,distance_labels,consume_labels
7.4,4.1,25,22.0,18,SP98,0,0,1,<50,<4.7
17.3,4.1,22,22.0,25,SP98,0,0,1,<50,<4.7
6.6,5.6,43,22.0,16,SP98,0,0,0,<50,5.3-8
14.3,4.1,26,22.0,20,SP98,0,0,0,<50,<4.7
13.3,4.6,33,22.0,18,SP98,0,0,0,<50,<4.7
8.3,4.9,26,22.0,23,SP98,0,0,0,<50,"4.7-5,3"
12.7,4.5,39,22.0,27,SP98,0,0,1,<50,<4.7
16.5,4.1,47,22.0,14,SP98,0,0,0,<50,<4.7
20.6,4.1,38,22.0,21,SP98,0,0,0,<50,<4.7
16.3,4.5,58,22.0,16,SP98,0,0,0,<50,<4.7
18.7,4.2,65,25.0,18,SP98,1,0,1,<50,<4.7
36.5,3.9,54,23.0,18,SP98,0,0,1,<50,<4.7
19.0,5.0,35,22.0,15,SP98,1,0,1,<50,"4.7-5,3"
16.6,4.4,46,22.0,5,SP98,1,0,0,<50,<4.7
29.9,4.5,32,22.0,18,SP98,1,0,0,<50,<4.7
16.0,3.8,42,22.0,11,SP98,0,0,0,<50,<4.7
21.1,5.1,33,22.0,10,SP98,0,1,0,<50,"4.7-5,3"
16.0,3.9,40,22.0,10,SP98,0,0,0,<50,<4.7
11.9,5.3,34,22.0,13,SP98,0,0,0,<50,"4.7-5,3"
10.1,4.2,35,22.0,16,SP98,0,0,0,<50,<4.7
31.9,4.3,33,22.0,16,SP98,0,0,0,<50,<4.7
18.7,4.0,60,22.0,13,SP98,0,0,0,<50,<4.7
10.8,4.7,48,22.0,17,SP98,0,0,1,<50,<4.7
19.8,4.0,56,22.0,17,SP98,0,0,1,<50,<4.7
11.3,4.3,38,22.0,17,SP98,0,0,0,<50,<4.7
11.5,5.3,53,22.0,15,SP98,0,0,0,<50,"4.7-5,3"
21.4,5.2,51,22.0,13,SP98,0,0,0,<50,"4.7-5,3"
32.0,4.9,53,22.0,15,SP98,0,0,0,<50,"4.7-5,3"
41.9,4.7,53,22.0,14,SP98,0,0,0,<50,<4.7
211.0,4.6,80,22.0,20,SP98,0,0,0,150-216.1,<4.7
216.1,5.3,90,22.0,21,SP98,0,0,1,150-216.1,"4.7-5,3"
25.5,3.6,27,22.0,27,SP98,0,0,1,<50,<4.7
16.6,4.2,52,22.0,15,SP98,0,1,0,<50,<4.7
25.9,4.1,43,22.0,24,SP98,0,0,0,<50,<4.7
16.5,4.0,48,22.0,15,SP98,0,0,0,<50,<4.7
22.1,3.9,29,22.0,26,SP98,0,0,0,<50,<4.7
16.6,3.7,49,22.0,17,E10,0,0,0,<50,<4.7
15.4,4.5,43,22.0,24,E10,0,0,0,<50,<4.7
16.5,3.9,43,22.0,17,E10,0,0,0,<50,<4.7
15.4,5.1,21,22.0,24,E10,0,0,0,<50,"4.7-5,3"
18.4,4.2,59,22.0,24,E10,0,0,0,<50,<4.7
39.5,4.2,58,22.0,25,E10,0,0,0,<50,<4.7
21.5,4.8,47,25.0,27,E10,1,0,1,<50,"4.7-5,3"
4.8,4.7,26,25.0,18,E10,0,0,0,<50,<4.7
100.9,4.7,87,21.93491124260355,22,E10,0,0,0,100-150,<4.7
129.7,4.6,58,24.0,21,E10,0,0,0,100-150,<4.7
16.6,3.8,43,21.93491124260355,16,E10,0,0,0,<50,<4.7
15.4,4.2,50,21.93491124260355,21,E10,0,0,0,<50,<4.7
16.0,3.7,45,22.0,17,E10,0,0,0,<50,<4.7
16.0,4.2,41,22.0,15,E10,0,0,0,<50,<4.7
15.4,4.1,45,22.0,24,E10,0,0,0,<50,<4.7
16.0,4.0,43,22.0,16,E10,0,0,0,<50,<4.7
21.0,3.8,37,22.0,21,E10,0,0,0,<50,<4.7
15.4,3.8,47,22.0,24,E10,0,0,0,<50,<4.7
16.0,3.8,42,22.0,17,E10,0,0,0,<50,<4.7
16.1,5.1,30,25.0,16,E10,1,1,0,<50,"4.7-5,3"
16.0,4.0,42,22.0,15,E10,0,0,0,<50,<4.7
15.4,4.8,40,22.0,18,E10,0,0,0,<50,"4.7-5,3"
17.2,3.9,35,22.0,16,E10,0,0,0,<50,<4.7
16.6,4.6,50,22.0,25,E10,0,0,0,<50,<4.7
18.3,4.3,46,22.0,16,SP98,0,0,0,<50,<4.7
16.1,4.8,36,22.0,18,SP98,0,1,0,<50,"4.7-5,3"
16.0,4.1,46,22.0,17,SP98,0,0,0,<50,<4.7
16.3,4.0,35,22.0,23,SP98,0,0,0,<50,<4.7
16.0,3.7,44,22.0,16,SP98,0,0,0,<50,<4.7
18.3,4.3,46,22.0,23,SP98,0,0,0,<50,<4.7
4.5,5.2,23,22.0,23,SP98,0,0,1,<50,"4.7-5,3"
17.0,4.2,48,22.0,16,SP98,0,0,0,<50,<4.7
6.1,5.0,35,21.93491124260355,18,SP98,0,0,0,<50,"4.7-5,3"
6.1,5.0,33,22.0,24,SP98,0,0,1,<50,"4.7-5,3"
17.3,4.2,36,22.0,22,SP98,0,0,0,<50,<4.7
6.0,4.8,27,22.0,17,SP98,0,0,0,<50,"4.7-5,3"
16.0,4.1,45,22.0,15,SP98,0,0,0,<50,<4.7
15.4,4.9,55,22.0,18,SP98,0,0,0,<50,"4.7-5,3"
15.4,4.3,39,22.0,23,SP98,0,0,0,<50,<4.7
16.0,3.9,35,22.0,18,SP98,0,0,0,<50,<4.7
15.4,4.5,52,22.0,26,SP98,0,0,0,<50,<4.7
